specification,coef,pval,ci_low,ci_high,n_obs
"Baseline (800-1100km, 24mo AR1, patch-clustered SE)",-0.018460927846003224,0.04556768667057333,-0.03655795096600177,-0.0003639047260046817,58432
Alt distance band (750-1000km),-0.0234847076730446,0.012330781576400125,-0.04187773772140667,-0.005091677624682534,58432
Alt distance band (900-1100km),-0.0196191631398901,0.027096611460275886,-0.03701767410906914,-0.00222065217071106,58432
Alt resilience metric (36mo AR1),-0.022902808924697475,0.0030207813053173683,-0.03803918931453345,-0.007766428534861503,54208
Alt resilience metric (24mo rolling std),-0.031249288016584775,4.127132857788987e-05,-0.04618680556781306,-0.016311770465356493,58432
+ Month/year fixed effects,-0.10096053664374088,3.123674911136273e-14,-0.12702094657145765,-0.07490012671602411,58432
Two-way clustered SE (patch + date),-0.018460927846003224,0.536140597727276,-0.07694664575960174,0.040024790067595295,58432
