lag_months,dist_lo,dist_hi,dist_mid,coef,pval,ci_low,ci_high,n_obs
1,75,150,112.5,0.011616357961446177,3.6739608282078375e-05,0.006099713140156986,0.017133002782735367,59136
1,150,225,187.5,0.007932658765013235,0.0002916284085971408,0.0036408192005913578,0.012224498329435113,59136
1,225,300,262.5,0.008205972643085112,0.00018028405048543716,0.003911512068418393,0.01250043321775183,59136
1,300,375,337.5,0.00711552845348179,0.001054898578307606,0.002857751747943298,0.011373305159020282,59136
1,375,450,412.5,0.008533422586227302,0.0014078032038538876,0.0032954151137925113,0.013771430058662092,59136
1,450,550,500.0,0.00784012430546148,0.004618657298063797,0.0024150937384118396,0.01326515487251112,59136
1,550,650,600.0,0.005643666896335199,0.047765979344209994,5.5541691880385546e-05,0.011231792100790013,59136
1,650,800,725.0,0.0035390422301121577,0.24733886464311428,-0.002456957105121383,0.009535041565345698,59136
1,800,1100,950.0,-0.0009795236756765108,0.7611745592124224,-0.007296030404872883,0.005336983053519861,59136
2,75,150,112.5,0.015227112739289443,0.005430102091814838,0.0044929834678455426,0.025961242010733344,58784
2,150,225,187.5,0.006895181627941727,0.11727193616958462,-0.0017328393643780832,0.015523202620261536,58784
2,225,300,262.5,0.007740052259230953,0.08152721987551848,-0.0009689937013006647,0.01644909821976257,58784
2,300,375,337.5,0.004518669535818476,0.3040695681606135,-0.00409866784983446,0.013136006921471412,58784
2,375,450,412.5,0.0067338199212916006,0.2146008241120283,-0.0039010735089164868,0.017368713351499688,58784
2,450,550,500.0,0.006466440683961058,0.2510136447327779,-0.00457467123924276,0.017507552607164877,58784
2,550,650,600.0,0.0019759916607353656,0.7280229331308001,-0.009160739340482185,0.013112722661952916,58784
2,650,800,725.0,-0.0036800151454963632,0.5535186125608781,-0.015853429349164727,0.008493399058172,58784
2,800,1100,950.0,-0.009530930755240051,0.1277394747126974,-0.02179576215042501,0.0027339006399449053,58784
3,75,150,112.5,0.012196165482211828,0.1307086836990921,-0.0036205730967427234,0.02801290406116638,58432
3,150,225,187.5,-0.0008352843501143251,0.8985089459525977,-0.013670953387892135,0.012000384687663485,58432
3,225,300,262.5,0.0011167786615585637,0.866005768981353,-0.011855380015434881,0.014088937338552009,58432
3,300,375,337.5,-0.0042096156743165886,0.5216651128479509,-0.017085618179934252,0.008666386831301073,58432
3,375,450,412.5,-0.0015642288845285138,0.8446374144041655,-0.01720900908381879,0.014080551314761762,58432
3,450,550,500.0,-0.0005427346323264512,0.9480191057740974,-0.016859135976969163,0.01577366671231626,58432
3,550,650,600.0,-0.006444546881592579,0.44276934442336613,-0.022901440500187345,0.010012346737002187,58432
3,650,800,725.0,-0.014928829674311469,0.10850881958852507,-0.033160114596582836,0.0033024552479598984,58432
3,800,1100,950.0,-0.021192263631918368,0.02175061655595761,-0.03929317712168605,-0.0030913501421506832,58432
6,75,150,112.5,0.009178944418410353,0.545520428953477,-0.020582528913311384,0.038940417750132086,57376
6,150,225,187.5,-0.017014887778675113,0.1580432148929264,-0.040638150741543075,0.006608375184192852,57376
6,225,300,262.5,-0.014268714765705674,0.23937805269111478,-0.03803849841676065,0.009501068885349302,57376
6,300,375,337.5,-0.023261023751012855,0.06045131829383686,-0.04754388605987797,0.001021838557852258,57376
6,375,450,412.5,-0.018455877126416352,0.2149034444465151,-0.047622957829340326,0.010711203576507622,57376
6,450,550,500.0,-0.01256439156245671,0.41561024520487666,-0.04281491032546692,0.0176861272005535,57376
6,550,650,600.0,-0.019363201226729285,0.22359950739451406,-0.05054708875245188,0.011820686298993313,57376
6,650,800,725.0,-0.032167538140902265,0.05671777639928863,-0.0652548623152497,0.0009197860334451691,57376
6,800,1100,950.0,-0.03678966955781475,0.029892066923011187,-0.06999521519573834,-0.003584123919891158,57376
