dist_lo,dist_hi,dist_mid,coef,pval,ci_low,ci_high,n_obs,beta0_fit,lambda_fit,r_squared
75,150,112.5,0.0051535437795899915,0.5278665522615895,-0.01084725254086623,0.021154340100046215,58432,212444.90648522638,6.415873229043433,-0.5620226318739969
150,225,187.5,-0.007024383415847449,0.2956810970751802,-0.020189738783527603,0.006140971951832703,58432,212444.90648522638,6.415873229043433,-0.5620226318739969
225,300,262.5,-0.0029965904017468774,0.6641349335765914,-0.016522742014298455,0.0105295612108047,58432,212444.90648522638,6.415873229043433,-0.5620226318739969
300,375,337.5,-0.005953148440803711,0.38496489892733754,-0.019383353224602773,0.007477056342995352,58432,212444.90648522638,6.415873229043433,-0.5620226318739969
375,450,412.5,-0.0026326598636725873,0.7425587522864097,-0.018341762621914868,0.013076442894569693,58432,212444.90648522638,6.415873229043433,-0.5620226318739969
450,550,500.0,0.0017923023885167977,0.8309810871643264,-0.014665677497359555,0.01825028227439315,58432,212444.90648522638,6.415873229043433,-0.5620226318739969
550,650,600.0,-0.004814760642406185,0.5742068075215078,-0.02161012610880306,0.01198060482399069,58432,212444.90648522638,6.415873229043433,-0.5620226318739969
650,800,725.0,-0.01332099517992961,0.14896706860664496,-0.03141194511805448,0.004769954758195262,58432,212444.90648522638,6.415873229043433,-0.5620226318739969
800,1100,950.0,-0.018460927846003224,0.04556768667057333,-0.03655795096600177,-0.0003639047260046817,58432,212444.90648522638,6.415873229043433,-0.5620226318739969
