definition,coef,pval,avg_neighbors,n_obs
Edge-only (original),0.08654066848212677,3.9824782421641046e-07,3.784090909090909,67232
Edge + diagonal (8-conn),0.08701489235217066,3.579102665560006e-08,7.363636363636363,67232
Fixed radius (150km),0.08701489235217125,3.5791026655592636e-08,7.363636363636363,67232
