dist_lo,dist_hi,dist_mid,coef,pval,ci_low,ci_high,n_obs
75,150,112.5,0.08701489235217125,3.5791026655592636e-08,0.05606534277942819,0.1179644419249143,67232
150,225,187.5,0.08243162064017329,1.044297525302392e-12,0.05975464299306281,0.10510859828728376,67232
225,300,262.5,0.07202138834749812,1.2486909029590814e-12,0.05213944505332002,0.09190333164167622,67232
300,375,337.5,0.07100222199428882,8.339448080335873e-13,0.05155387743170918,0.09045056655686846,67232
375,450,412.5,0.06417768509309879,2.7578170863070456e-12,0.04618138135528156,0.08217398883091602,67232
450,550,500.0,0.058202915894186635,2.9864583858890294e-11,0.041041557275936294,0.07536427451243698,67232
550,650,600.0,0.06502648042372122,5.559937516016337e-16,0.04928922934187218,0.08076373150557026,67232
650,800,725.0,0.07208310280488796,5.034533296326058e-25,0.058409433424444615,0.0857567721853313,67232
800,1100,950.0,0.0794311322962821,1.0621671694728924e-38,0.06746552723370171,0.09139673735886249,67232
