patch_id,dist_to_disturbance_km
0,186.69601921576754
1,89.32422289176431
2,16.960647498886736
3,19.66230608317617
4,2.2902103892605234
5,27.23155658524022
6,12.007938768822436
7,5.8256322176291455
8,27.23155658524022
9,22.70339178496179
10,26.44729900834454
11,15.54252961233161
12,2.2902103892605234
13,26.053701337436507
14,27.23155658524023
15,27.23155658524024
16,27.231556585240252
17,5.115215460295949
18,5.344733586063507
19,12.007938768823
20,2.2902103892605234
21,5.115215460294682
22,206.52226650299838
23,144.17258171659947
24,76.47501971900458
25,35.28130456477393
26,37.81273609853281
27,46.911868651011325
28,55.79167275875853
29,15.535002231326667
30,103.17634195248422
31,56.45849439782935
32,27.37472284949187
33,34.37168645640894
34,82.72194487520886
35,62.96090799924497
36,84.05287728381981
37,76.22062722575026
38,25.361256017398247
39,2.2901247178544506
40,5.8192461942102955
41,2.2901247178544506
42,2.765256095936208
43,11.99814752612636
44,152.03027638451186
45,65.61463650840122
46,72.20724480588666
47,105.49146424481768
48,79.69833452681112
49,36.59435829806346
50,19.890929795977993
51,71.82574661174749
52,42.79222828220031
53,14.766031053464255
54,60.71116850074999
55,8.985274366145944
56,37.975212766381496
57,2.7651714237312457
58,8.575222956459564
59,5.103579936758861
60,2.7651714237313447
61,17.83745380779839
62,2.7651714237312457
63,5.811646356809624
64,2.2900228808649508
65,2.2900228808649508
66,90.51123700189915
67,64.7101341460144
68,74.80019169985844
69,23.3356090933872
70,94.09030245109813
71,76.21224666319556
72,15.427358159353787
73,5.326513912170862
74,8.570877606920149
75,29.896641147004743
76,12.599832372390097
77,2.7650734484660413
78,31.81189783684382
79,47.649645826311804
80,9.008984818601675
81,2.2899049762672328
82,7.2615331088209585
83,2.2899049762671138
84,5.096250446944386
85,2.2899049762671138
86,2.2899049762672328
87,5.802835424630569
88,81.4718072102825
89,51.39024782928043
90,8.97633076922679
91,20.884779421106852
92,30.15771575000573
93,14.630350013454745
94,64.62768177912363
95,71.46640413641971
96,107.23645205831157
97,68.72358120053774
98,63.24815828936471
99,18.04685408401563
100,2.2897711175114672
101,93.90228918272064
102,27.953228664985915
103,33.13608663335198
104,18.506248719457375
105,13.518526420313146
106,2.2897711175114672
107,2.2897711175113487
108,2.764962265060478
109,2.2897711175114672
110,45.39886975925781
111,19.489623334164666
112,2.2896214334202787
113,25.355248568266777
114,5.309564899262068
115,37.97178186629527
116,49.11489369584975
117,38.39926894505317
118,43.90696012491633
119,23.330262416655618
120,32.58686046499259
121,39.94086065306971
122,5.309564899262667
123,67.6909394349467
124,104.32325207253689
125,9.386804110230196
126,2.289621433420397
127,2.2896214334201606
128,5.781593348706742
129,2.2896214334201606
130,2.7648379812419637
131,2.2896214334202787
132,13.511081920810682
133,2.2894560680732305
134,2.2894560680732305
135,12.73232052668178
136,5.769169843743263
137,27.60458915727591
138,22.718562027461935
139,5.769169843743263
140,5.769169843743263
141,8.55430232604206
142,2.2894560680731133
143,5.299660262488949
144,5.973402780664303
145,7.74168558471343
146,34.113122149253016
147,2.2894560680732305
148,2.289456068073348
149,8.55430232604169
150,5.973402780664303
151,2.2894560680731133
152,2.2894560680732305
153,2.2894560680732305
154,24.900688832032763
155,5.056925990308556
156,5.755550525008356
157,2.289275180675434
158,2.289275180675434
159,9.70162462081696
160,26.46282247312319
161,5.755550525008356
162,8.95871837602074
163,5.056925990308556
164,5.960222094351825
165,2.2892751806752005
166,2.289275180675434
167,2.764550606709875
168,21.46303105778521
169,2.289275180675434
170,11.900448453142856
171,2.2892751806753173
172,5.960222094351825
173,5.755550525007717
174,5.288807950527051
175,2.289275180675434
176,12.493972506760935
177,50.672708492171054
178,13.50217866587302
179,29.261412854619177
180,2.7643877945361974
181,2.764387794536005
182,47.64538015867729
183,5.740740322453297
184,7.741573613007505
185,7.261273278490265
186,5.044612640647243
187,2.2890789454160934
188,2.289078945416325
189,5.2770128213156395
190,12.732252306620495
191,2.7643877945361974
192,7.741573613007607
193,2.7643877945361015
194,12.175581356522372
195,2.7643877945361015
196,2.289078945416325
197,2.289078945416325
198,2.2888675513105157
199,22.719586692254126
200,5.264280175312581
201,22.684833334433627
202,5.724744614193493
203,2.2888675513102847
204,12.151554378337197
205,2.2888675513105157
206,13.770579066203048
207,2.7642124387723843
208,2.2888675513104
209,2.2888675513102847
210,2.2888675513105157
211,25.085653440940558
212,5.031315574217019
213,2.2888675513105157
214,2.7642124387726703
215,2.2888675513104
216,5.724744614193493
217,8.958996895076977
218,14.514086164125127
219,10.388238268600919
220,2.288641202028046
221,5.017040097395312
222,2.764024709455854
223,7.74144374809805
224,5.707569229099236
225,5.250615758487353
226,9.734508361953893
227,9.341215919649578
228,9.611180168124706
229,5.250615758487353
230,8.52411715876684
231,2.288641202027817
232,7.261135529404483
233,2.288641202028046
234,8.936184692003238
235,2.288641202028046
236,2.764024709455949
237,2.288641202027932
238,2.288641202028046
239,12.43748698577251
240,12.732173211320648
241,2.764024709455854
242,2.288400115709111
243,2.288400115709111
244,9.70028528534899
245,30.04139141672185
246,47.06289742385122
247,33.598337475563994
248,2.288400115709111
249,5.689220449665138
250,2.2884001157088836
251,2.2884001157088836
252,2.2884001157089973
253,5.236025765598084
254,2.288400115709111
255,2.288400115709111
256,2.2884001157089973
257,2.288400115709111
258,2.2884001157092246
259,2.2884001157089973
260,2.7638247886580873
261,2.2884001157089973
262,2.288400115709111
263,2.288400115709111
264,11.769066768943965
265,10.390699248573336
266,15.742385252784958
267,35.48341669095669
268,37.583771107428085
269,7.2609792248727265
270,4.985577214123835
271,2.288144524768066
272,5.877230191313985
273,2.2881445247678402
274,4.9855772141244445
275,2.7636128703150886
276,2.288144524768066
277,2.288144524768066
278,4.9855772141244445
279,2.288144524768066
280,2.763612870315369
281,2.288144524767953
282,2.288144524768066
283,2.288144524767953
284,2.288144524768066
285,2.288144524768066
286,15.33499523425703
287,19.029620083378898
288,15.33499523425703
289,9.500710460674798
290,2.7633891600473786
291,5.64903012519411
292,5.649030125195357
293,2.287874675681986
294,2.287874675681762
295,12.251325083529549
296,5.649030125195357
297,2.763389160047194
298,4.96840250644232
299,5.204096096477769
300,2.287874675681874
301,2.287874675681986
302,2.2878746756820973
303,2.287874675681874
304,2.287874675681986
305,2.287874675681874
306,2.287874675681986
307,2.287874675681986
308,19.68504968966397
309,16.62025399975812
310,2.2875908287652926
311,2.763153874967975
312,19.9584182164852
313,20.803020000707782
314,35.2889664158095
315,51.18620704477508
316,2.287590828765071
317,12.300887332748049
318,16.62025399975812
319,2.7631538749677915
320,2.2875908287652926
321,2.2875908287652926
322,2.2875908287651816
323,2.2875908287652926
324,2.2875908287654036
325,2.2875908287651816
326,2.2875908287652926
327,2.2875908287651816
328,2.2875908287652926
329,2.2875908287652926
330,2.2872932579353256
331,15.667482111673461
332,29.030291659538577
333,2.2872932579353256
334,2.2872932579353256
335,2.287293257935106
336,7.260711337718537
337,48.69891330115469
338,13.277090361410796
339,5.814018375822159
340,2.287293257935216
341,2.287293257935106
342,2.2872932579353256
343,2.2872932579353256
344,2.287293257935216
345,2.2872932579353256
346,2.2872932579354357
347,2.287293257935216
348,2.2872932579353256
349,2.287293257935216
350,2.2872932579353256
351,2.2872932579353256
