subset,n_patches,spearman_r,p_value
All patches,352,0.5801772208619173,4.7173793361396785e-33
Forest >= 50%,213,0.6015533198204546,2.369521870123644e-22
Forest >= 70%,176,0.5731764897572689,9.312999856528027e-17
Forest >= 80%,153,0.5315825008401912,1.5492745335488247e-12
