model,distance_coef,distance_pval,r_squared
Model 1: distance only,0.008006528292296741,6.740798647939721e-27,0.28100925456053505
Model 2: distance + latitude,0.006056731987778232,4.3287019464300493e-16,0.3616618072864175
Model 3: distance + lat + lon,0.003477180900941293,9.07647137432798e-07,0.48733888933092817
