patch_id,learned_neighbor_id,weight
0,303,0.0043797134
0,145,0.0041077943
0,210,0.0039484636
1,247,0.0033040326
1,182,0.0032467158
1,268,0.0032412328
2,141,0.00326633
2,43,0.0031300946
2,205,0.0031206703
3,145,0.003369632
3,303,0.003288163
3,180,0.003250704
4,329,0.0035140722
4,185,0.0034823841
4,152,0.003481449
5,184,0.0035500422
5,102,0.0035159164
5,211,0.0033226344
6,163,0.003429172
6,209,0.0033763123
6,133,0.003243396
7,142,0.0034100704
7,205,0.0034036792
7,141,0.0033729875
8,102,0.0032173172
8,146,0.0031694241
8,337,0.0031682176
9,118,0.0040029483
9,102,0.003778706
9,37,0.0036049888
10,118,0.0039144773
10,98,0.0036738187
10,75,0.0036306258
11,141,0.003389815
11,349,0.0032205386
11,25,0.0031913915
12,75,0.0037514723
12,56,0.0035290676
12,118,0.003515492
13,176,0.0037517694
13,39,0.0034828696
13,32,0.0034219874
14,331,0.0034357733
14,205,0.0034163604
14,141,0.003386128
15,75,0.003265882
15,56,0.0032528876
15,32,0.0032256069
16,39,0.0033973658
16,32,0.003393732
16,141,0.003379721
17,17,0.0033669162
17,19,0.0033509678
17,120,0.0032738028
18,303,0.003572446
18,18,0.0034801571
18,237,0.00345153
19,145,0.0034846226
19,59,0.0033735111
19,165,0.0033174586
20,145,0.0048007844
20,152,0.004224309
20,185,0.0041376245
21,59,0.0039453115
21,134,0.003934032
21,328,0.0038730043
22,145,0.0044659786
22,135,0.0042162538
22,134,0.0040698573
23,134,0.003391092
23,145,0.0033415745
23,187,0.0033048498
24,164,0.0031947452
24,303,0.0031895284
24,210,0.0031262632
25,284,0.0035408316
25,145,0.0034873816
25,172,0.0034550389
26,44,0.0034362518
26,75,0.0033967686
26,99,0.0033670005
27,164,0.0030351914
27,70,0.003034216
27,128,0.0030232477
28,142,0.0032764133
28,40,0.0032030386
28,284,0.0031855153
29,118,0.004235328
29,102,0.0038717755
29,44,0.0038476458
30,118,0.0042000674
30,102,0.004024259
30,71,0.0036831119
31,102,0.00408461
31,118,0.0038816275
31,99,0.0038104148
32,140,0.0033650051
32,143,0.0033117232
32,134,0.0032646053
33,75,0.0038322438
33,120,0.003795781
33,44,0.0037327919
34,75,0.0037717563
34,56,0.0035879621
34,14,0.0035339084
35,102,0.003793382
35,118,0.0037177263
35,184,0.0035575011
36,163,0.0035109548
36,176,0.0034531355
36,287,0.0032559715
37,141,0.0033194886
37,176,0.0032865445
37,15,0.003270011
38,134,0.003400365
38,143,0.0033467805
38,142,0.0033397723
39,17,0.0034175832
39,19,0.0033750876
39,58,0.0032840287
40,19,0.003270432
40,59,0.0032056374
40,190,0.0031833393
41,185,0.0036868036
41,145,0.0036063278
41,187,0.003571207
42,145,0.004392291
42,329,0.0039794515
42,165,0.003766076
43,145,0.0042376276
43,329,0.00398506
43,165,0.0039420538
44,184,0.003165447
44,102,0.0031152929
44,141,0.0031143248
45,209,0.0030276887
45,118,0.0029925988
45,50,0.0029741942
46,163,0.0034569795
46,287,0.0033032498
46,176,0.003274877
47,185,0.0031526187
47,114,0.0031450603
47,172,0.003118026
48,185,0.00345636
48,145,0.0033823054
48,152,0.003272892
49,99,0.0036778646
49,25,0.0036519507
49,75,0.0036216844
50,75,0.0036694875
50,44,0.003656726
50,118,0.0035912446
51,102,0.0045063547
51,44,0.004429404
51,118,0.004272466
52,118,0.00450509
52,102,0.0041301227
52,75,0.0040400364
53,118,0.0037366978
53,102,0.0036480569
53,75,0.003615981
54,118,0.0035435231
54,44,0.003485724
54,25,0.0034409296
55,75,0.0036201142
55,118,0.0036175896
55,99,0.003567351
56,44,0.0034401687
56,120,0.0033999998
56,75,0.0033944966
57,75,0.003998108
57,118,0.003854914
57,56,0.003746186
58,118,0.0034341225
58,75,0.0033199212
58,37,0.0033130043
59,141,0.0033267005
59,118,0.003266081
59,34,0.00325492
60,141,0.0033588451
60,39,0.0033321262
60,17,0.003273707
61,17,0.0036177207
61,19,0.003601793
61,163,0.0035123609
62,163,0.0034624413
62,209,0.0033951048
62,17,0.003334954
63,135,0.003543754
63,134,0.0034686036
63,328,0.003458393
64,145,0.0036076063
64,187,0.0034602794
64,303,0.0034294252
65,145,0.004080248
65,303,0.0038067366
65,152,0.0037247585
66,102,0.0036119765
