lag_months,b_driver,interaction_coef_standardized,pval,ci_low,ci_high,n_obs
1,precip_anomaly,0.0004800600077642101,0.094927447714225,-8.336714568064234e-05,0.0010434871612090627,59136
1,temp_anomaly,0.00019079268494294867,0.544318916107316,-0.00042598104102552084,0.0008075664109114182,59136
1,soil_anomaly,-0.0013304956879343416,1.7705381429776287e-05,-0.0019380703798943313,-0.0007229209959743519,59136
1,pdsi_anomaly,0.0003702458013518351,0.19838496783584036,-0.00019396454711723772,0.0009344561498209079,59136
1,vpd_anomaly,0.0003718606330037441,0.25791643445345425,-0.00027236675711741234,0.0010160880231249005,59136
1,wind_anomaly,-0.00047314212017717417,0.13236411853391025,-0.0010893796487582935,0.0001430954084039452,59136
1,solar_anomaly,-0.00033029463362842514,0.29828078355387666,-0.0009526853884899351,0.00029209612123308487,59136
1,rzsm_anomaly,-0.0012253447144978846,5.2244264783371766e-05,-0.0018190212879909285,-0.0006316681410048408,59136
1,deltaT_anomaly,-6.129002285915498e-05,0.8156556360927344,-0.0005765520500167149,0.0004539720042984049,59136
1,twi,-0.00063160883655047,0.006928940197235053,-0.0010900608327836865,-0.0001731568403172536,59136
1,dist_to_disturbance_km,-0.0012287684078978707,2.9667904930830175e-06,-0.0017441305681590645,-0.0007134062476366771,59136
2,precip_anomaly,0.00014788850338930904,0.7256321566400219,-0.0006780498719777814,0.0009738268787563996,58784
2,temp_anomaly,-0.0009435361773747006,0.04717949348879392,-0.001875319624596738,-1.175273015266323e-05,58784
2,soil_anomaly,-0.002839704450143472,9.713306172214254e-08,-0.003883536199027579,-0.001795872701259365,58784
2,pdsi_anomaly,0.0012298520536002254,0.027384775704537494,0.00013716037572310356,0.0023225437314773473,58784
2,vpd_anomaly,0.0007514503463396285,0.1659669881766609,-0.0003117397936882422,0.0018146404863674992,58784
2,wind_anomaly,0.0003580659955434702,0.47685161119980934,-0.0006284685559649953,0.0013446005470519357,58784
2,solar_anomaly,0.0007674072708941967,0.07816274140949211,-8.64875313343114e-05,0.0016213020731227048,58784
2,rzsm_anomaly,-0.002365372422669253,4.2144159539220364e-06,-0.0033730947610409916,-0.0013576500842975145,58784
2,deltaT_anomaly,0.0002972156531256883,0.4580716736180086,-0.00048784052194398545,0.001082271828195362,58784
2,twi,-0.0015453352911166621,0.001315000529099608,-0.0024880983514662075,-0.0006025722307671169,58784
2,dist_to_disturbance_km,-0.002902512402509656,2.0184492449468146e-07,-0.003997014957842202,-0.00180800984717711,58784
3,precip_anomaly,0.0003867373537382638,0.4419241819878863,-0.0005990136812592422,0.0013724883887357698,58432
3,temp_anomaly,-0.0026873711752755077,3.8337998645513295e-06,-0.003827399028573217,-0.0015473433219777984,58432
3,soil_anomaly,-0.004270882134660335,1.8158133065951162e-08,-0.005758043841982254,-0.0027837204273384163,58432
3,pdsi_anomaly,0.002566853249638951,0.0017120282503717628,0.0009626576018405642,0.004171048897437338,58432
3,vpd_anomaly,0.0009119507503291702,0.1735598114109117,-0.0004014822389406265,0.002225383739598967,58432
3,wind_anomaly,6.684194190440559e-05,0.9127402319884701,-0.0011286720298273412,0.0012623559136361524,58432
3,solar_anomaly,6.842722635245113e-05,0.9013331802078698,-0.0010133418241366923,0.0011501962768415946,58432
3,rzsm_anomaly,-0.0028085602362361585,3.958145222990706e-05,-0.004147927235430857,-0.0014691932370414602,58432
3,deltaT_anomaly,0.0009919783263830485,0.06673360402002386,-6.844164346880128e-05,0.002052398296234898,58432
3,twi,-0.0024820801508148227,0.0005182516271091559,-0.0038835753886554006,-0.001080584912974245,58432
3,dist_to_disturbance_km,-0.004748940702381443,5.6993335641694225e-08,-0.006463711486560997,-0.003034169918201889,58432
6,precip_anomaly,0.0029964813192194795,3.531123585128131e-05,0.0015765783276847384,0.004416384310754221,57376
6,temp_anomaly,-0.005134423203974131,6.682608443375657e-08,-0.00699816624681442,-0.003270680161133842,57376
6,soil_anomaly,-0.0021839027550047377,0.049802702826166535,-0.004365923277407782,-1.8822326016930402e-06,57376
6,pdsi_anomaly,0.0030969801182649786,0.028595393145593524,0.0003240635847755113,0.005869896651754446,57376
6,vpd_anomaly,-0.0023591267730582116,0.013529426192551692,-0.004231475469177374,-0.0004867780769390491,57376
6,wind_anomaly,-0.0008977658508302699,0.30339354363341076,-0.002607460049352392,0.0008119283476918526,57376
6,solar_anomaly,-0.005296566025178176,1.5553174741014351e-09,-0.007015708192522976,-0.003577423857833377,57376
6,rzsm_anomaly,0.0007403777812669437,0.46162888812746994,-0.0012307961360265806,0.0027115516985604677,57376
6,deltaT_anomaly,-0.001036372459636649,0.23447473603223734,-0.0027448711535368315,0.0006721262342635334,57376
6,twi,-0.004505439154697581,0.00047912074740989394,-0.007034098728140662,-0.0019767795812545,57376
6,dist_to_disturbance_km,-0.009851447887948088,1.2289593075241674e-08,-0.013241482536805196,-0.006461413239090979,57376
