patch_id,date,vod,precip_mm,month,vod_anomaly,precip_anomaly
0,2003-01-01,0.9261049077903314,395.01160939858886,1,-0.00963856832213661,33.078051144371216
0,2003-02-01,0.9357320406171868,323.92089381509896,2,-0.0009326973646167636,-25.450897301946384
0,2003-03-01,0.9338349160667744,383.26499089416194,3,-0.004838825992106277,-1.4889769718354842
0,2003-04-01,0.9323833857704964,251.2529133485288,4,-0.006770550779929385,-3.6384475212924485
0,2003-05-01,0.9329922038217918,92.77000572243516,5,-0.012720038257039046,-25.91927139879185
0,2003-06-01,0.9345807858087346,20.54113741796844,6,-0.013600199610430908,-7.826613347597267
0,2003-07-01,0.935119279268826,0.0,7,-0.011436087770419823,-6.689257312490016
0,2003-08-01,0.9262372573201436,40.15200299876077,8,-0.009593310579917413,3.8021765697405385
0,2003-09-01,0.9215500671665586,105.89113284617054,9,-0.007282699127783343,11.897277160110505
0,2003-10-01,0.9218348656735093,251.9889710387405,10,-0.0062017392616430245,73.78684455749328
0,2003-11-01,0.9237155002618954,213.0549310421457,11,-0.005887283361292739,-51.197182498720224
0,2003-12-01,0.9249342054031376,333.89157936037805,12,-0.010156948242224573,10.456007060347815
0,2004-01-01,0.9213520778040132,336.9853228549568,1,-0.014391398308454817,-24.948235399260852
0,2004-02-01,0.92418964616746,413.3500743009606,2,-0.012475091814343586,63.978283183915266
0,2004-03-01,0.922014671629514,345.9767924230926,3,-0.01665907042936665,-38.77717544290482
0,2004-04-01,0.9227148910145742,211.80843078846837,4,-0.016439045535851626,-43.082930081352885
0,2004-05-01,0.9241093268478636,64.79747433078532,5,-0.021602915230967246,-53.89180279044169
0,2004-06-01,0.933488831684645,18.15908479203983,6,-0.014692153734520486,-10.208665973525875
0,2004-07-01,0.928668257958918,13.518312697507897,7,-0.017887109080327757,6.829055385017881
0,2004-08-01,0.927974349082391,53.93925285339356,8,-0.007856218817670069,17.58942642437333
0,2004-09-01,0.9286918996941804,83.1527758423163,9,-0.00014086660016154884,-10.841079843743728
0,2004-10-01,0.9174261683263304,158.8579556698702,10,-0.010610436608821883,-19.344170811377012
0,2004-11-01,0.9212074213567156,238.10545445461665,11,-0.008395362266472528,-26.146659086249286
0,2004-12-01,0.921083282055141,277.2637130192348,12,-0.01400787159022121,-46.171859280795445
0,2005-01-01,0.9246539220930898,276.55327033023445,1,-0.011089554019378167,-85.38028792398319
0,2005-02-01,0.9282006622825952,300.0550196706032,2,-0.008464075699208373,-49.31677144644215
0,2005-03-01,0.9317888993726028,319.4199850510578,3,-0.00688484268627787,-65.33398281493965
0,2005-04-01,0.9225870296415788,158.92638413760127,4,-0.01656690690884699,-95.96497673221998
0,2005-05-01,0.9303232101245852,89.68956302015148,5,-0.01538903195424568,-28.999714101075526
0,2005-06-01,0.9270774184712064,36.940642544201445,6,-0.021103566947959118,8.57289177863574
0,2005-07-01,0.9303401044215358,0.8528684110057597,7,-0.016215262617710002,-5.836388901484256
0,2005-08-01,0.9235907584872024,19.639431135995046,8,-0.012239809412858627,-16.710395293025186
0,2005-09-01,0.920708494808282,110.5763651375868,9,-0.008124271486059986,16.582509451526775
0,2005-10-01,0.9254423808660164,159.76617286643204,10,-0.0025942240691358975,-18.435953614815162
0,2005-11-01,0.8999935418852663,275.56063056965263,11,-0.0296092417379219,11.308517028786696
0,2005-12-01,0.9256849711688208,389.349411769789,12,-0.009406182476541458,65.91383946975878
0,2006-01-01,0.9350430638154338,301.503585455369,1,-0.0007004122970342141,-60.42997279884867
0,2006-02-01,0.9276423120829784,295.6145979968869,2,-0.009022425898825182,-53.75719312015843
0,2006-03-01,0.9319423693917654,397.9005349314943,3,-0.00673137266711521,13.146567065496868
0,2006-04-01,0.9267093814036262,351.12929420081934,4,-0.01244455514679954,96.23793333099809
0,2006-05-01,0.9352732495925308,106.41422534962088,5,-0.010438992486300092,-12.27505177160613
