model,log_likelihood,aic,rho_or_lambda,pval
OLS,,,,
Spatial Lag (rho),6.691801156432859,4.616397687134281,0.6499771396716992,2.9515685209065934e-42
Spatial Error (lambda),5.532439588310979,4.935120823378043,0.6781962658475625,2.2216630279078622e-48
