lag_months,direction,coef,pval,ci_low,ci_high,n_obs
1,forward,0.08654066848212677,3.9824782421641046e-07,0.05308435558302105,0.11999698138123249,67232
1,backward,0.07931771799468622,9.41022610106262e-05,0.03951047503420016,0.11912496095517228,67232
2,forward,0.1014469171834701,0.0006500086099625062,0.04313559764978126,0.15975823671715894,66880
2,backward,0.09197823648158666,0.002494964243053962,0.03236285234888974,0.15159362061428358,66880
3,forward,0.06772805450671006,0.061955199435177785,-0.0033870174748197868,0.1388431264882399,66528
3,backward,0.05967367604995959,0.08917491892074299,-0.009134762756370374,0.12848211485628955,66528
