model,neighbor_coef,neighbor_pval
No controls,0.08761568912861097,3.0225366655045935e-07
+ precipitation,0.08654066848212677,3.9824782421641046e-07
+ precip + temp,0.08578121080510158,5.127428320122469e-07
+ precip + temp + soil + PDSI,0.08500673843061998,7.828284757801153e-07
+ precip + temp + soil + PDSI + ONI (ENSO),0.07509841709738883,1.595059513748416e-05
