clustering,coef,pval,ci_low,ci_high,band_lo,band_hi,lag,n_obs,n_unique_pairs
target,-0.007231810643401652,5.92390428841958e-05,-0.01076137187181277,-0.0037022494149905336,800,1100,3,498000,3000
source,-0.007231810643401652,4.855046855976506e-05,-0.010720819169866438,-0.0037428021169368664,800,1100,3,498000,3000
two-way (primary specification),-0.007231810643401652,0.0008307530721680198,-0.011472578920714734,-0.0029910423660885702,800,1100,3,498000,3000
