dist_lo,dist_hi,dist_mid,peak_lag,peak_coef,peak_pval
75,150,112.5,2,0.015227112345352699,0.005430103321541581
150,225,187.5,1,0.00793265901893149,0.00029162827826010023
225,300,262.5,1,0.008205972390933541,0.00018028413845217676
300,375,337.5,1,0.007115528519038641,0.0010548984399730088
375,450,412.5,1,0.008533422662887022,0.0014078029932919288
450,550,500.0,1,0.007840126074205825,0.004618648026980567
550,650,600.0,1,0.005643666977635922,0.04776597651803368
650,800,725.0,6,-0.03216753893485103,0.056717770352404016
800,1100,950.0,6,-0.03678966891912806,0.029892069477271677
