model,rmse,mae
Model 1 (no spatial),0.01781442137097281,0.012687687327098166
Model 2 (geographic neighbors),0.017798040657489963,0.012645217206451568
Model 3 (data-driven neighbors),0.01775672605065442,0.012582100972978153
