patch_id,kendall_tau,p_value
0,0.7589428115743906,2.1124504510511204e-38
1,0.8163590795169744,3.6969592735560627e-44
2,0.7318295739348373,7.926388511856346e-36
3,0.22898154477101848,9.244028574505695e-05
4,0.26520847573479156,5.9499426061379564e-06
5,0.49100022784233316,5.145494014522895e-17
6,0.018910913647755757,0.7467828776385053
7,0.5021645021645023,1.0000411021327252e-17
8,0.5452267031214401,1.288207625951201e-20
9,0.5999088630667578,1.2746171195612125e-24
10,0.6201868307131466,3.3497941471258236e-26
11,0.611073137388927,1.7445268894468834e-25
12,0.48051948051948057,2.3179741327734015e-16
13,0.735019366598314,3.990428191654378e-36
14,0.49965823650034186,1.4490320073560164e-17
15,0.3583959899749374,9.40222677902747e-10
16,-0.1856915014809752,0.0015218192662104072
17,-0.43882433356117573,6.758861052109068e-14
18,0.7846889952153111,6.232174575514115e-41
19,0.3793574846206426,9.347957569626671e-11
20,0.648667122351333,1.6528857528794474e-28
21,0.6447938026885396,3.451034005876059e-28
22,0.759170653907496,2.0079913209649505e-38
23,0.6577808156755526,2.8744712051682927e-29
24,0.3301435406698565,1.7317939411723893e-08
25,0.42538163590795175,3.787342040066467e-13
26,0.43791296422875375,7.609001796755182e-14
27,0.5099111414900889,3.14217765837859e-18
28,0.6459330143540671,2.780440278662574e-28
29,0.5566188197767146,2.025807153554185e-21
30,0.3399407609933926,6.469843963971885e-09
31,0.4048758259284576,4.750595516774364e-12
32,0.12804739120528597,0.028795365559074974
33,-0.28320802005012535,1.32822097535025e-06
34,-0.1166552745500114,0.04639650521711254
35,-0.38300296195033046,6.177466167239455e-11
36,0.43426748689906586,1.2192980863495036e-13
37,0.6058327637275006,4.456937702895697e-25
38,0.8054226475279108,4.970652819272679e-43
39,0.5354294827979039,6.136202770899974e-20
40,0.6561859193438142,3.9107145237001924e-29
41,0.29277739804055597,5.766691396611815e-07
42,0.6386420596946913,1.1011463178311853e-27
43,0.5475051264524949,8.925011776054633e-21
44,0.5142401458190933,1.6330255807236409e-18
45,0.6821599453178402,2.371911097884603e-31
46,0.6942355889724312,2.0674584453230474e-32
47,0.6605149236728185,1.6928463808985635e-29
