seed,baseline,fixed_graph,adaptive,attention
42,0.075943224132061,0.0787559226155281,0.13267409801483154,0.067954882979393
123,0.06620292365550995,0.08981327712535858,0.22878499329090118,0.048963576555252075
456,0.02887055277824402,0.19318978488445282,0.10907413810491562,0.08027767390012741
789,0.028776094317436218,0.13619878888130188,0.07610878348350525,0.16499574482440948
2024,0.028552062809467316,0.08475716412067413,0.04470929503440857,0.09284910559654236
