model,neighbor_coef,neighbor_pval
No controls,0.08761568912861097,3.0225366655045935e-07
+ local precipitation,0.08654066848212677,3.9824782421641046e-07
+ local precip + local temp,0.08578121080510158,5.127428320122469e-07
+ local precip + local temp + regional temp,0.08752096159129892,3.1959065161382503e-07
