patch_id,kendall_tau,p_value,row,col,lon,lat,local_morans_i,cluster_type
0,0.6883116883116884,6.879575957774577e-32,0,0,-65.57701574072506,-4.266997599567727,2.196481451145514,HH
1,0.7215766689450901,7.054096443296353e-35,0,1,-64.67870045660554,-4.266997599567727,1.9299413465374424,HH
2,0.6518569150148098,8.985455715913869e-29,0,2,-63.780385172486014,-4.266997599567727,1.6990376066482586,HH
3,0.4973798131692869,2.0268189445152362e-17,0,3,-62.882069888366495,-4.266997599567727,1.0488042302237486,HH
4,0.3629528366370472,5.753335512887114e-10,0,4,-61.983754604246975,-4.266997599567727,0.7502469236679116,HH
5,0.5162907268170427,1.1954624781099934e-18,0,5,-61.08543932012745,-4.266997599567727,1.2859574168834407,HH
6,0.5506949191159718,5.325845631410472e-21,0,6,-60.18712403600793,-4.266997599567727,1.4910111173373768,HH
7,0.5700615174299385,2.176137606915895e-22,0,7,-59.28880875188841,-4.266997599567727,1.6396462568588028,HH
8,0.7593984962406016,1.908668899601142e-38,0,8,-58.39049346776888,-4.266997599567727,2.038260170085779,HH
9,0.7413989519252678,1.0024594634538408e-36,0,9,-57.492178183649365,-4.266997599567727,2.048461631243911,HH
10,0.5648211437685122,5.225057319760447e-22,0,10,-56.593862899529846,-4.266997599567727,1.235084318491866,HH
11,0.4249259512417408,4.011547145940852e-13,0,11,-55.69554761541032,-4.266997599567727,1.0544103236516722,HH
12,0.6488949646844385,1.5826245114942814e-28,0,12,-54.7972323312908,-4.266997599567727,1.4740367894124597,HH
13,0.521531100478469,5.35769726779362e-19,0,13,-53.89891704717128,-4.266997599567727,1.2931990103020528,HH
14,0.5472772841193895,9.259248975477424e-21,0,14,-53.00060176305176,-4.266997599567727,1.1177440100800102,HH
15,0.5217589428115745,5.1730365632171675e-19,0,15,-52.10228647893224,-4.266997599567727,0.8175748729396847,HH
16,0.1291866028708134,0.0274030789002599,0,16,-51.20397119481272,-4.266997599567727,0.125300634123127,HH
17,0.4818865345181135,1.9081997753342524e-16,0,17,-50.30565591069319,-4.266997599567727,0.019137043269862757,HH
18,-0.0542264752791068,0.3545182401364044,0,18,-49.40734062657367,-4.266997599567727,-0.26668393822457315,LH
19,0.5156071998177262,1.3266205992970852e-18,0,19,-48.50902534245415,-4.266997599567727,0.13143656187564443,HH
20,0.2510822510822511,1.811270098330154e-05,0,20,-47.61071005833463,-4.266997599567727,0.22838134427774262,HH
21,0.2535885167464115,1.4927087447155956e-05,0,21,-46.71239477421511,-4.266997599567727,0.14208693828956878,HH
22,0.6958304853041696,1.4931753198626866e-32,1,0,-65.57701574072506,-5.165312883687248,1.743884993338398,HH
23,0.469583048530417,1.0779203710697026e-15,1,1,-64.67870045660554,-5.165312883687248,1.2676757009939186,HH
24,0.5700615174299385,2.176137606915895e-22,1,2,-63.780385172486014,-5.165312883687248,1.3577412943750986,HH
25,0.5297334244702666,1.5014515439782042e-19,1,3,-62.882069888366495,-5.165312883687248,1.3638724918668286,HH
26,0.5969469127363864,2.1473371364307084e-24,1,4,-61.983754604246975,-5.165312883687248,1.6998432859148316,HH
27,0.8594212804739122,9.497828494717182e-49,1,5,-61.08543932012745,-5.165312883687248,2.6777829506877584,HH
28,0.8033720665299614,8.060144789512139e-43,1,6,-60.18712403600793,-5.165312883687248,2.5945038823706743,HH
29,0.673729778992937,1.2705630781649181e-30,1,7,-59.28880875188841,-5.165312883687248,1.7466931354218838,HH
30,0.494645705172021,3.0258187549094725e-17,1,8,-58.39049346776888,-5.165312883687248,1.3125283213270282,HH
31,0.5326953748006381,9.439307507924052e-20,1,9,-57.492178183649365,-5.165312883687248,1.3614172897605137,HH
32,0.3982683982683984,1.046040033133874e-11,1,10,-56.593862899529846,-5.165312883687248,0.8512095596444219,HH
33,0.6126680337206654,1.3092265750305625e-25,1,11,-55.69554761541032,-5.165312883687248,1.1979060394228374,HH
34,0.6427432216905902,5.086776331327099e-28,1,12,-54.7972323312908,-5.165312883687248,1.7807782170336097,HH
35,0.5673274094326727,3.440232548691974e-22,1,13,-53.89891704717128,-5.165312883687248,1.2658421036134282,HH
36,0.4392800182273867,6.369533663427177e-14,1,14,-53.00060176305176,-5.165312883687248,0.9542904686454434,HH
37,0.521531100478469,5.35769726779362e-19,1,15,-52.10228647893224,-5.165312883687248,0.9807606176987713,HH
38,0.4654818865345181,1.9012629628851948e-15,1,16,-51.20397119481272,-5.165312883687248,0.43211964373036543,HH
39,0.177261335156072,0.0024735871016348,1,17,-50.30565591069319,-5.165312883687248,0.12915344295277104,HH
40,0.3162451583504215,6.680494936951088e-08,1,18,-49.40734062657367,-5.165312883687248,0.050444355472600406,HH
41,0.1886534518113465,0.0012771628705091,1,19,-48.50902534245415,-5.165312883687248,0.06717974771825706,HH
42,0.1478696741854636,0.0115789943085981,1,20,-47.61071005833463,-5.165312883687248,0.037559051564830186,HH
43,0.1825017088174983,0.0018330495002109,1,21,-46.71239477421511,-5.165312883687248,0.043655299155029095,HH
44,0.558669400774664,1.4463109529721363e-21,2,0,-65.57701574072506,-6.06362816780677,1.4562063352498673,HH
45,0.5882889040783779,9.721354881118917e-24,2,1,-64.67870045660554,-6.06362816780677,1.3902762851226078,HH
46,0.5912508544087491,5.8133063282904435e-24,2,2,-63.780385172486014,-6.06362816780677,1.4828146768460362,HH
47,0.7598541809068126,1.724441732921147e-38,2,3,-62.882069888366495,-6.06362816780677,2.166478371682795,HH
48,0.8537252221462749,3.964664664272096e-48,2,4,-61.983754604246975,-6.06362816780677,2.935975115566003,HH
49,0.799043062200957,2.227347270150479e-42,2,5,-61.08543932012745,-6.06362816780677,2.9368688315722684,HH
50,0.7368421052631581,2.692322269448209e-36,2,6,-60.18712403600793,-6.06362816780677,2.0643752652352663,HH
51,0.4973798131692869,2.0268189445152362e-17,2,7,-59.28880875188841,-6.06362816780677,1.2783740374063899,HH
52,0.5495557074504444,6.406392269001925e-21,2,8,-58.39049346776888,-6.06362816780677,1.4966591619262404,HH
53,0.7723855092276145,1.0331131089788494e-39,2,9,-57.492178183649365,-6.06362816780677,1.8907736430158983,HH
54,0.4563681932102985,6.594903244221913e-15,2,10,-56.593862899529846,-6.06362816780677,0.9996401218618359,HH
55,0.4123946229209387,1.90575426374845e-12,2,11,-55.69554761541032,-6.06362816780677,0.8063682330352202,HH
56,0.6917293233082709,3.442502507652221e-32,2,12,-54.7972323312908,-6.06362816780677,1.4806419385655987,HH
57,0.5176577808156756,9.703737587691694e-19,2,13,-53.89891704717128,-6.06362816780677,1.2809642670835877,HH
58,0.5203918888129415,6.383279437000945e-19,2,14,-53.00060176305176,-6.06362816780677,0.9545799046278592,HH
59,0.4299384825700615,2.1239263410028867e-13,2,15,-52.10228647893224,-6.06362816780677,0.724385196297149,HH
60,0.2579175210754158,1.064324333489958e-05,2,16,-51.20397119481272,-6.06362816780677,0.16388579969291686,HH
61,-0.062200956937799,0.2882279731742611,2,17,-50.30565591069319,-6.06362816780677,0.0793296783494671,LL
62,0.1394395078605605,0.0172757759030163,2,18,-49.40734062657367,-6.06362816780677,-0.07471972435306791,HL
63,-0.2565504670767829,1.1849764269932688e-05,2,19,-48.50902534245415,-6.06362816780677,0.04224734016475994,LL
64,0.0485304169514695,0.4073270176465944,2,20,-47.61071005833463,-6.06362816780677,0.02265782566774109,LL
65,0.0423786739576213,0.4693285280665669,2,21,-46.71239477421511,-6.06362816780677,0.03027980488045582,LL
66,0.5399863294600138,2.979106030013831e-20,3,0,-65.57701574072506,-6.961943451926292,1.5123208160255146,HH
67,0.5987696514012304,1.5582361216400631e-24,3,1,-64.67870045660554,-6.961943451926292,1.1125525373082985,HH
68,0.4158122579175211,1.2515097741194905e-12,3,2,-63.780385172486014,-6.961943451926292,0.6253740303135713,HH
69,0.5643654591023013,5.63646835440041e-22,3,3,-62.882069888366495,-6.961943451926292,1.409420886635119,HH
70,0.8118022328548644,1.0962575793917791e-43,3,4,-61.983754604246975,-6.961943451926292,2.145017821956463,HH
71,0.7199817726133516,9.88398119689155e-35,3,5,-61.08543932012745,-6.961943451926292,1.7235943127165398,HH
72,0.4080656185919344,3.2308525144842192e-12,3,6,-60.18712403600793,-6.961943451926292,1.05057170866785,HH
73,0.4837092731829574,1.4710060707671243e-16,3,7,-59.28880875188841,-6.961943451926292,1.2294209126004112,HH
74,0.7689678742310323,2.2362365433134668e-39,3,8,-58.39049346776888,-6.961943451926292,2.191537840836352,HH
75,0.6807928913192072,3.1182068891710155e-31,3,9,-57.492178183649365,-6.961943451926292,2.2341455132370953,HH
76,0.5743905217589429,1.0491623768762216e-22,3,10,-56.593862899529846,-6.961943451926292,0.9443585794378808,HH
77,0.2335383914331283,6.679391008393464e-05,3,11,-55.69554761541032,-6.961943451926292,0.36322964816310055,HH
78,0.4274322169059012,2.921571832236608e-13,3,12,-54.7972323312908,-6.961943451926292,0.915698771778863,HH
79,0.5702893597630441,2.094444898203281e-22,3,13,-53.89891704717128,-6.961943451926292,1.1526656970050875,HH
80,0.431989063568011,1.634023877566241e-13,3,14,-53.00060176305176,-6.961943451926292,0.8756048847268868,HH
81,0.4472544998860789,2.233659655515601e-14,3,15,-52.10228647893224,-6.961943451926292,0.6571834359570707,HH
82,0.1050353155616313,0.0729138857581257,3,16,-51.20397119481272,-6.961943451926292,-0.008427515879654322,HL
83,-0.6776030986557303,5.89123766758962e-31,3,17,-50.30565591069319,-6.961943451926292,1.2077327455656555,LL
84,-0.522898154477102,4.339952795725004e-19,3,18,-49.40734062657367,-6.961943451926292,1.3335266199990508,LL
85,-0.163362952836637,0.0052829710577401,3,19,-48.50902534245415,-6.961943451926292,0.5586512245436325,LL
86,-0.2182729551150604,0.0001939378407256,3,20,-47.61071005833463,-6.961943451926292,0.6084701224229296,LL
87,-0.4841649578491684,1.3781525305905902e-16,3,21,-46.71239477421511,-6.961943451926292,0.9420742139652702,LL
88,0.7949419002050582,5.805262567889616e-42,4,0,-65.57701574072506,-7.860258736045813,1.593438376428146,HH
